relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Diagnostics/Sensitivity and Specificity of a Prototype rapid diagnostic test for the detection of trypanosoma brucei gambiense infection.pdf	Sensitivity and Specificity of a Prototype rapid diagnostic test for the detection of trypanosoma brucei gambiense infection.pdf	Diagnostics	pdf	924467	2024-05-27	Paper	gHAT / HAT									to_triage
Diagnostics/Sensitivity and specificity of HAT Sero-K-SeT, a rapid diagnostic test for serodiagnosis of sleeping sickness caused by Trypanosoma brucei gambiense - a case-control study.pdf	Sensitivity and specificity of HAT Sero-K-SeT, a rapid diagnostic test for serodiagnosis of sleeping sickness caused by Trypanosoma brucei gambiense - a case-control study.pdf	Diagnostics	pdf	230106	2024-03-25	Paper	gHAT / HAT									to_triage
Diagnostics/serological_tests_overview__STA_PB.docx	serological_tests_overview__STA_PB.docx	Diagnostics	docx	625530	2024-04-02	Paper	gHAT / HAT									to_triage
Diagnostics/Simple centrifugationLCR_sealedPasteurPipette.pdf	Simple centrifugationLCR_sealedPasteurPipette.pdf	Diagnostics	pdf	256930	2022-12-14	Paper	gHAT / HAT									to_triage
Diagnostics/SOP CATT T evansi.pdf	SOP CATT T evansi.pdf	Diagnostics	pdf	293614	2024-04-04	Paper	gHAT / HAT									to_triage
Diagnostics/TARGET PRODUCT PROFILE.pdf	TARGET PRODUCT PROFILE.pdf	Diagnostics	pdf	371933	2024-03-27	Paper	gHAT / HAT									to_triage
Diagnostics/Thesis_Sara_Tablado_seropositivity.pdf	Thesis_Sara_Tablado_seropositivity.pdf	Diagnostics	pdf	1340447	2022-12-13	Paper	gHAT / HAT									to_triage
Diagnostics/Tropical Med Int Health - 2024 - Tablado Alonso - Retrospective clinical performance evaluation of the Abbott Bioline HAT 2.pdf	Tropical Med Int Health - 2024 - Tablado Alonso - Retrospective clinical performance evaluation of the Abbott Bioline HAT 2.pdf	Diagnostics	pdf	717304	2025-03-06	Paper	gHAT / HAT									to_triage
Diagnostics/Trypanosoma brucei gambiense-iELISA A Promising New Test for the Post-Elimination Monitoring of Human African Trypanosomiasis.pdf	Trypanosoma brucei gambiense-iELISA A Promising New Test for the Post-Elimination Monitoring of Human African Trypanosomiasis.pdf	Diagnostics	pdf	396378	2025-02-26	Paper	gHAT / HAT									to_triage
Diagnostics/Trypanosome SL-RNA detection in blood and cerebrospinal fluid to demonstrate active gambiense human African trypanosomiasis infection.pdf	Trypanosome SL-RNA detection in blood and cerebrospinal fluid to demonstrate active gambiense human African trypanosomiasis infection.pdf	Diagnostics	pdf	1143820	2025-02-26	Paper	gHAT / HAT									to_triage
Diagnostics/Two-year follow-up of gHAT serology after succesful treatment of HAT - results of four different sero-diagnostic tests.pdf	Two-year follow-up of gHAT serology after succesful treatment of HAT - results of four different sero-diagnostic tests.pdf	Diagnostics	pdf	1172115	2024-03-25	Paper	gHAT / HAT									to_triage
Diagnostics/Two-Year Follow-Up of Trypanosoma brucei gambiense Serology after Successful Treatment of Human African Trypanosomiasis Results of Four Different Sero-Diagnostic Tests.pdf	Two-Year Follow-Up of Trypanosoma brucei gambiense Serology after Successful Treatment of Human African Trypanosomiasis Results of Four Different Sero-Diagnostic Tests.pdf	Diagnostics	pdf	1172115	2024-04-01	Paper	gHAT / HAT									to_triage
Diagnostics/Understanding the Role of the Diagnostic 'Reflex' in the Elimination of Human African Trypanosomiasis.pdf	Understanding the Role of the Diagnostic 'Reflex' in the Elimination of Human African Trypanosomiasis.pdf	Diagnostics	pdf	512430	2024-01-15	Paper	gHAT / HAT									to_triage
Diagnostics/Validite_cout_et_faisabilite_de_la_mAECT.pdf	Validite_cout_et_faisabilite_de_la_mAECT.pdf	Diagnostics	pdf	115582	2024-06-27	Paper	gHAT / HAT									to_triage
Diagnostics/VariantSpecificTrypanolysis.pdf	VariantSpecificTrypanolysis.pdf	Diagnostics	pdf	608444	2022-12-21	Paper	gHAT / HAT									to_triage
Diagnostics/WHO_TTP_Wider treatment.pdf	WHO_TTP_Wider treatment.pdf	Diagnostics	pdf	360657	2026-03-19	Paper	gHAT / HAT									to_triage
Elimination/2022 alvares elimination HAT possible.pdf	2022 alvares elimination HAT possible.pdf	Elimination	pdf	2634127	2024-09-06	Paper	gHAT / HAT									to_triage
Elimination/BumpyRoadToElimination.pdf	BumpyRoadToElimination.pdf	Elimination	pdf	722433	2022-12-06	Paper	gHAT / HAT									to_triage
Elimination/Criteria and procedures for the verification of elimination of transmission of t.b. gambiense to the human population in a given country.pdf	Criteria and procedures for the verification of elimination of transmission of t.b. gambiense to the human population in a given country.pdf	Elimination	pdf	1055405	2024-05-17	Paper	gHAT / HAT									to_triage
Elimination/Human_African_trypanosomiasis_cases_diagnosed_in_n.pdf	Human_African_trypanosomiasis_cases_diagnosed_in_n.pdf	Elimination	pdf	1880641	2024-03-25	Paper	gHAT / HAT									to_triage
Elimination/JVectorBorneDis572105-4496287_122922.pdf	JVectorBorneDis572105-4496287_122922.pdf	Elimination	pdf	1288233	2024-05-16	Paper	gHAT / HAT									to_triage
Elimination/The challenge of serodiagnosis of sleeping sickness in the context of elimination.pdf	The challenge of serodiagnosis of sleeping sickness in the context of elimination.pdf	Elimination	pdf	38059	2024-03-25	Paper	gHAT / HAT									to_triage
Elimination/The elimination of Trypanosoma brucei gambiense - Challenges of reservoir hosts and transmission cycles	The elimination of Trypanosoma brucei gambiense - Challenges of reservoir hosts and transmission cycles	Elimination		670953	2024-01-09	Paper	gHAT / HAT									to_triage
Elimination/The_elimination_of_human_African_trypanosomiasis_A.pdf	The_elimination_of_human_African_trypanosomiasis_A.pdf	Elimination	pdf	2665042	2024-03-25	Paper	gHAT / HAT									to_triage
Elimination/Towards the sustainable elimination of gambiense human African trypanosomiasis in Côte d'Ivoire using an integrated approach.pdf	Towards the sustainable elimination of gambiense human African trypanosomiasis in Côte d'Ivoire using an integrated approach.pdf	Elimination	pdf	2758999	2023-11-13	Paper	gHAT / HAT									to_triage
Epidemiology/African trypanosomiasis.pdf	African trypanosomiasis.pdf	Epidemiology	pdf	379756	2023-11-30	Paper	gHAT / HAT									to_triage
Epidemiology/Do Cryptic Reservoirs Threaten.pdf	Do Cryptic Reservoirs Threaten.pdf	Epidemiology	pdf	2003735	2023-11-13	Paper	gHAT / HAT									to_triage
Epidemiology/DOMESTIC ANIMALS AS POTENTIAL RESERVOIR HOSTS.pdf	DOMESTIC ANIMALS AS POTENTIAL RESERVOIR HOSTS.pdf	Epidemiology	pdf	197420	2024-05-27	Paper	gHAT / HAT									to_triage
Epidemiology/Epidemiology of human African trypanosomiasis.pdf	Epidemiology of human African trypanosomiasis.pdf	Epidemiology	pdf	1386307	2023-11-30	Paper	gHAT / HAT									to_triage
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/12942_2015_Article_13.pdf	12942_2015_Article_13.pdf	Epidemiology	pdf	2819012	2024-04-08	Paper	gHAT / HAT									to_triage
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Attendance rate in HAT active screening activities in the provinces of DRC (period 2000-2012).docx	Attendance rate in HAT active screening activities in the provinces of DRC (period 2000-2012).docx	Epidemiology	docx	16116	2024-01-22	Paper	gHAT / HAT									to_triage
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/HAT control and surveillance in the Provinces of DRC (2000-2012).xlsx	HAT control and surveillance in the Provinces of DRC (2000-2012).xlsx	Epidemiology	xlsx	139290	2024-01-22	Paper	gHAT / HAT									to_triage
