Article 3: test performance and quality	Diagnostics/Rapid Diagnostic Test for Sleeping Sickness.pdf
Article 3: test performance and quality	Diagnostics/Sensitivity and Specificity of a Prototype rapid diagnostic test for the detection of trypanosoma brucei gambiense infection.pdf
Article 3: test performance and quality	Diagnostics/Sensitivity and specificity of HAT Sero-K-SeT, a rapid diagnostic test for serodiagnosis of sleeping sickness caused by Trypanosoma brucei gambiense - a case-control study.pdf
Article 3: test performance and quality	Diagnostics/Tropical Med Int Health - 2024 - Tablado Alonso - Retrospective clinical performance evaluation of the Abbott Bioline HAT 2.pdf
Article 3: test performance and quality	Diagnostics/Trypanosoma brucei gambiense-iELISA A Promising New Test for the Post-Elimination Monitoring of Human African Trypanosomiasis.pdf
Article 3: test performance and quality	Diagnostics/Trypanosome SL-RNA detection in blood and cerebrospinal fluid to demonstrate active gambiense human African trypanosomiasis infection.pdf
Article 3: test performance and quality	Diagnostics/Validite_cout_et_faisabilite_de_la_mAECT.pdf
Article 3: test performance and quality	Diagnostics/VariantSpecificTrypanolysis.pdf
Article 3: test performance and quality	Diagnostics/qPCR - Specifcity of serological screening tests and reference laboratory tests to diagnose.pdf
Article 3: test performance and quality	Screening & Surveillance/Digitalisation & Quality Assurance/1 Digitalisation TrypElim.pdf
Article 3: test performance and quality	Screening & Surveillance/Digitalisation & Quality Assurance/Diagnostics in a digital age - an opportunity to strengthen health systems and improve health outcomes.pdf
Article 3: test performance and quality	Screening & Surveillance/Digitalisation & Quality Assurance/Innovative digital technologies for quality assurance of diagnosis of human African trypanosomiasis.pdf
Article 3: test performance and quality	Screening & Surveillance/Digitalisation & Quality Assurance/The Trypelim project_ digital tools to help eliminate Sleeping Sickness.pdf
Article 3: test performance and quality	Screening & Surveillance/Passive/Passive screening Guinée/fig2 clinical signs.tif
Article 3: test performance and quality	Screening & Surveillance/Passive/Passive screening Guinée/fig3 vendiagram RDTs.tif
Article 3: test performance and quality	Screening & Surveillance/Passive/Performance_of_clinical_signs_and_symptoms_rapid_a.pdf
Article 5: facility targeting	Screening & Surveillance/Passive/Criteria for selecting sentinel unit locations in a surveillance system for vector-borne disease - A decision tool.pdf
Article 6: sampling and modelling	Screening & Surveillance/Forecasting Human African Trypanosomiasis Prevalences from Population Screening Data Using Continuous Time Models.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/2. Screening Strategies for a Sustainable Endpoint for.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Data-driven models to predict the elimination of sleeping sickness in.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Implications of seasonal variations, host and vector migration on spatial spread of sleeping sickness mathematical.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Modelling to infer the role of animals in gambiense human African trypanosomiasis transmission and elimination in the DRC.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Predicting the Impact of Intervention Strategies for Sleeping Sickness in Two High-Endemicity Health Zones of the Democratic Republic of Congo.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Quantifying epidemiological drivers of gambiense human African Trypanosomiasis across the Democratic Republic of Congo.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Quantitative evaluation of the strategy to eliminate human African trypanosomiasis in the Democratic Republic of Congo.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Village-scale persistence and elimination of gHAT.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/Measuring elimination metrics.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/antillon-et-al-2021-economic-evaluation-of-disease-elimination-an-extension-to-the-net-benefit-framework-and.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/ciab190.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/cost effectiveness drc.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/davis-et-al-2021-modelling-gambiense-human-african-trypanosomiasis-infection-in-villages-of-the-democratic-republic-of.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/hidden hand asymptomatic.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/journal.pcbi.1009367.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/journal.pcbi.1011993.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/journal.pntd.0010599.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/journal.pntd.0011299.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/journal.pntd.0011396.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/journal.pntd.0011514.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/s13071-024-06404-4.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/s40249-022-00934-8.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/s41467-022-28598-w (1).pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/s41467-022-28598-w.pdf
Article 6: sampling and modelling	Statistics & Mathematical Modelling/Warwick/s41467-022-29192-w.pdf
PhD framework / monitoring context	WHO Atlas/2024 Franco.pdf
PhD framework / monitoring context	WHO Atlas/Diversity of human African trypanosomiasis epidemiological settings requires fine-tuning control strategies to facilitate disease elimination.pdf
PhD framework / monitoring context	WHO Atlas/Ending the neglect to attain the Sustainable Development Goals A road map for neglected tropical diseases 2021–2030.pdf
PhD framework / monitoring context	WHO Atlas/Monitoring the elimination of human African trypanosomiasis - Update to 2014.pdf
PhD framework / monitoring context	WHO Atlas/NTD-Roadmap 2030.pdf
PhD framework / monitoring context	WHO Atlas/Report of a WHO meeting on elimination of human African trypanosomiasis (trypanosoma brucei gambiense).pdf
PhD framework / monitoring context	WHO Atlas/The elimination of human African Trypanosomiasis - WHO Achievements 2020.pdf
PhD framework / monitoring context	WHO Atlas/WHO - Monitoring the elimination of human African trypanosomiasis at continental and country level - Update to 2018.pdf
PhD framework / monitoring context	WHO Atlas/WHO control and surveillance HAT.pdf
PhD framework / monitoring context	WHO Atlas/the-journey-towards-elimination-of-gambiense-human-african-trypanosomiasis-not-far-nor-easy.pdf
