relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Diagnostics/Tropical Med Int Health - 2024 - Tablado Alonso - Retrospective clinical performance evaluation of the Abbott Bioline HAT 2.pdf	Tropical Med Int Health - 2024 - Tablado Alonso - Retrospective clinical performance evaluation of the Abbott Bioline HAT 2.pdf	Diagnostics	pdf	717304	2025-03-06	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		RDT	PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Trypanosoma brucei gambiense-iELISA A Promising New Test for the Post-Elimination Monitoring of Human African Trypanosomiasis.pdf	Trypanosoma brucei gambiense-iELISA A Promising New Test for the Post-Elimination Monitoring of Human African Trypanosomiasis.pdf	Diagnostics	pdf	396378	2025-02-26	Paper	gHAT / HAT	Africa	diagnostic evaluation	Screening / diagnosis	Post-elimination	iELISA	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/Trypanosome SL-RNA detection in blood and cerebrospinal fluid to demonstrate active gambiense human African trypanosomiasis infection.pdf	Trypanosome SL-RNA detection in blood and cerebrospinal fluid to demonstrate active gambiense human African trypanosomiasis infection.pdf	Diagnostics	pdf	1143820	2025-02-26	Paper	gHAT / HAT	Africa		Screening / diagnosis		Molecular	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/Validite_cout_et_faisabilite_de_la_mAECT.pdf	Validite_cout_et_faisabilite_de_la_mAECT.pdf	Diagnostics	pdf	115582	2024-06-27	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		mAECT	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/VariantSpecificTrypanolysis.pdf	VariantSpecificTrypanolysis.pdf	Diagnostics	pdf	608444	2022-12-21	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		Trypanolysis	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/12942_2015_Article_13.pdf	12942_2015_Article_13.pdf	Epidemiology	pdf	2819012	2024-04-08	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Attendance rate in HAT active screening activities in the provinces of DRC (period 2000-2012).docx	Attendance rate in HAT active screening activities in the provinces of DRC (period 2000-2012).docx	Epidemiology	docx	16116	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology	Active			PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/HAT control and surveillance in the Provinces of DRC (2000-2012).xlsx	HAT control and surveillance in the Provinces of DRC (2000-2012).xlsx	Epidemiology	xlsx	139290	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology		Elimination monitoring		PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Human African trypanosomiasis in the Democratic Republic of the Congo disease distribution and risk.pdf	Human African trypanosomiasis in the Democratic Republic of the Congo disease distribution and risk.pdf	Epidemiology	pdf	1227637	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Progress status of mapping for HAT cases and geographic locations in DRC (period 2000 – 2012), and geographical accuracy of mapped villages.docx	Progress status of mapping for HAT cases and geographic locations in DRC (period 2000 – 2012), and geographical accuracy of mapped villages.docx	Epidemiology	docx	19649	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
